Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gld coalesced,gld uncoalesced,gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,prof trigger 07,prof trigger 06,prof trigger 05,prof trigger 04,tex cache hit,tex cache miss,warp serialize,instructions,divergent branch,branch,prof trigger 03,prof trigger 02,prof trigger 01,prof trigger 00
"MatrixMulKernel_1(float const *, float const *, float*, int)",2082268784,41952032,1,1,1,22,22,1,17,32,0,,,13,935,17,678,11210173984,100,22599094,8808448,0,4096,8811520,4544,8256,1,1,0,0,1509376,1362944,0,59264,8808448,3072,5936128,2883584,0,0,0,0,0,0,0,10205985,0,1462880,0,0,0,0
"Memcpy DtoH [sync]",2124313552,108672,,,,,,,,,,495616,4560659599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2178074820,243968,,,,,,,,,,1115136,4570828961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2178684356,212544,,,,,,,,,,1115136,5246612466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",2178900452,141447744,1,1,1,22,22,1,17,32,0,,,13,917,17,678,11225041920,100,15105951,29728512,0,9216,29735376,10392,18504,1,1,0,0,5094144,4599936,0,133488,29728512,6864,20034432,9732096,0,0,0,0,0,0,0,34311840,0,4912992,0,0,0,0
"Memcpy DtoH [sync]",2321409732,246560,,,,,,,,,,1115136,4522777417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2375866117,30272,,,,,,,,,,123904,4093023255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2375995589,29600,,,,,,,,,,123904,4185945945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2376028677,391136,22,22,1,8,8,1,9,32,0,,,4,5,6,9250385270,100,35096271,114048,0,36,114048,0,432,54,18,0,0,0,0,0,864,114048,0,114048,12672,0,0,0,0,0,0,0,45485,0,6480,0,0,0,0
"Memcpy DtoH [sync]",2376507429,28928,,,,,,,,,,123904,4283185840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2423094948,110368,,,,,,,,,,495616,4490576978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2423419172,109024,,,,,,,,,,495616,4545934840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2423531684,2950816,44,44,1,8,8,1,9,32,0,,,4,5,6,9899570331,100,18779138,912384,0,144,912384,0,1728,216,72,0,0,0,0,0,3456,912384,0,912384,101376,0,0,0,0,0,0,0,359297,0,51264,0,0,0,0
"Memcpy DtoH [sync]",2426574020,108896,,,,,,,,,,495616,4551278283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2583309744,244416,,,,,,,,,,1115136,4562450903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2583957936,212224,,,,,,,,,,1115136,5254523522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2584173616,10516608,66,66,1,8,8,1,9,32,0,,,4,519,6,025,9284415891,100,11714625,3066624,0,324,3066624,0,3872,484,162,0,0,0,0,0,7744,3066624,0,3066624,342144,0,0,0,0,0,0,0,1207565,0,172368,0,0,0,0
"Memcpy DtoH [sync]",2594793136,242592,,,,,,,,,,1115136,4596755045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2651787809,30176,,,,,,,,,,123904,4106044538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2651912641,29632,,,,,,,,,,123904,4181425485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2651945761,320672,11,11,1,16,16,1,9,32,0,,,9,643,9,643,11720543058,100,44316945,78848,0,40,78848,224,0,14,5,0,0,0,39424,0,896,78848,0,39424,14080,0,0,0,0,0,0,0,50553,0,7200,0,0,0,0
"Memcpy DtoH [sync]",2652344641,28768,,,,,,,,,,123904,4307007786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2696781645,112768,,,,,,,,,,495616,4395005675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2697208493,109408,,,,,,,,,,495616,4529979526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2697321421,2626592,22,22,1,16,16,1,9,32,0,,,9,9,11111592843,100,21068802,608256,0,144,608256,864,0,54,18,0,0,0,304128,0,3456,608256,0,304128,101376,0,0,0,0,0,0,0,359305,0,51264,0,0,0,0
"Memcpy DtoH [sync]",2700037997,108480,,,,,,,,,,495616,4568731563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2753950164,244992,,,,,,,,,,1115136,4551724137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2754570260,212544,,,,,,,,,,1115136,5246612466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2754786324,8603904,33,33,1,16,16,1,9,32,0,,,9,149,9,149,11409377895,100,14326679,2044416,0,328,2044416,1936,0,121,41,0,0,0,1022208,0,7744,2044416,0,1022208,346368,0,0,0,0,0,0,0,1222489,0,174496,0,0,0,0
"Memcpy DtoH [sync]",2763492980,242976,,,,,,,,,,1115136,4589490320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2817713960,30176,,,,,,,,,,123904,4106044538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2817838376,29600,,,,,,,,,,123904,4185945945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2817871464,598304,8,8,1,22,22,1,9,32,0,,,5,205,6,629,12224173718,100,49668520,137632,0,48,137726,149,255,8,3,0,0,23584,21296,0,1858,137632,94,92752,16896,0,0,0,0,0,0,0,60641,0,8640,0,0,0,0
"Memcpy DtoH [sync]",2818553384,29376,,,,,,,,,,123904,4217864923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2864766321,110432,,,,,,,,,,495616,4487974500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
