Name,Registers/Thread,Static Shared Memory,gst uncoalesced,gst coalesced,gld uncoalesced,gld coalesced,gld 32B,gld request,gld 128B,gld 64B,divergent branch,branch,sm cta launched,cta launched,warp serialize,instructions,gst 32B,gst 64B,gst 128B,gld total,local store,local load,gst total,gst request,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5074777758,48288,,,,,,,,262144,5428760768
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5075121310,47296,,,,,,,,262144,5542625169
"void MatrixMulKernel_4a<int=16>(float*, float const *, float const *, int)",13,2092,0,4032,0,34272,0,33728,0,33728,0,8320,0,63,0,140032,0,1024,0,34272,0,0,34272,1072,5075172670,525472,16,16,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5075813884,48896,,,,,,,,262144,5361256544
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5124431443,104000,,,,,,,,589824,5671384615
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5124718707,103424,,,,,,,,589824,5702970297
"void MatrixMulKernel_4a<int=16>(float*, float const *, float const *, int)",13,2092,0,9216,0,115200,0,116000,0,116000,0,29184,0,144,0,492704,0,2304,0,115200,0,0,115200,2304,5124826195,1631680,24,24,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5126562479,107742,,,,,,,,589824,5474411093
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5177817475,177248,,,,,,,,1048576,5915869290
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5178272451,176896,,,,,,,,1048576,5927641099
"void MatrixMulKernel_4a<int=16>(float*, float const *, float const *, int)",13,2092,0,16320,0,269280,0,266112,0,266112,0,68800,0,258,0,1136384,0,4080,0,269280,0,0,269280,4128,5178453411,3809120,32,32,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5182353629,182037,,,,,,,,1048576,5760235556
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5234940208,283520,,,,,,,,1638400,5778781038
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5235595984,282656,,,,,,,,1638400,5796445148
"void MatrixMulKernel_4a<int=16>(float*, float const *, float const *, int)",13,2092,0,25536,0,523488,0,528736,0,528736,0,130944,0,400,0,2216576,0,6400,0,523488,0,0,523488,6368,5235882736,7356448,40,40,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5243347814,292537,,,,,,,,1638400,5600659061
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5295672858,32800,,,,,,,,65536,1998048780
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5295751578,32224,,,,,,,,65536,2033763654
"void MatrixMulKernel_4b<int=8>(float*, float const *, float const *, int)",14,1068,0,1056,0,17952,15232,7616,0,0,0,2184,0,66,33550,29920,520,0,0,18224,0,0,18224,260,5295790266,155968,16,16,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5295994328,16255,,,,,,,,65536,4031744078
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5340767248,48224,,,,,,,,262144,5435965494
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5340918672,47552,,,,,,,,262144,5512786002
"void MatrixMulKernel_4b<int=8>(float*, float const *, float const *, int)",14,1068,0,4080,0,134640,135696,67848,0,0,0,17400,0,258,238882,203492,2032,0,0,134640,0,0,134640,1044,5340970288,1068800,32,32,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5342092079,48927,,,,,,,,262144,5357859668
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5390196260,103840,,,,,,,,589824,5680123266
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5390503492,103360,,,,,,,,589824,5706501547
"void MatrixMulKernel_4b<int=8>(float*, float const *, float const *, int)",14,1068,0,9216,0,451584,451584,225792,0,0,0,56832,0,576,801115,669328,4608,0,0,451584,0,0,451584,2304,5390610916,3460800,48,48,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5394120096,106335,,,,,,,,589824,5546847228
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5444080276,177248,,,,,,,,1048576,5915869290
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5444521396,176576,,,,,,,,1048576,5938383472
"void MatrixMulKernel_4b<int=8>(float*, float const *, float const *, int)",14,1068,0,16384,0,1064960,1063920,531960,0,0,0,133280,0,1024,1879001,1570662,8216,0,0,1064960,0,0,1064960,4096,5444702004,8023040,64,64,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5452829579,183772,,,,,,,,1048576,5705852904
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5503694942,283584,,,,,,,,1638400,5777476867
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5504390590,282464,,,,,,,,1638400,5800385181
"void MatrixMulKernel_4b<int=8>(float*, float const *, float const *, int)",14,1068,0,25616,0,2074896,2076192,1038096,0,0,0,260592,0,1604,3697602,3051974,12816,0,0,2069712,0,0,2069712,6400,5504677118,15838080,80,80,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5520621007,292441,,,,,,,,1638400,5602497597
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5574223840,32768,,,,,,,,65536,2000000000
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5574305664,32288,,,,,,,,65536,2029732408
"void MatrixMulKernel_4b<int=16>(float*, float const *, float const *, int)",14,4140,0,960,0,4320,0,4896,0,4896,0,1120,0,17,0,20816,0,272,0,4032,0,0,4032,256,5574344416,92608,8,8,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5574514973,16128,,,,,,,,65536,4063492063
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5619305174,48352,,,,,,,,262144,5421575115
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5619455158,47520,,,,,,,,262144,5516498316
"void MatrixMulKernel_4b<int=16>(float*, float const *, float const *, int)",14,4140,0,3968,0,33728,0,33728,0,33728,0,8736,0,63,0,179600,0,1040,0,34816,0,0,34816,1040,5619506742,609952,16,16,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5620164117,48861,,,,,,,,262144,5365096907
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5664750957,103840,,,,,,,,589824,5680123266
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5665058317,103520,,,,,,,,589824,5697681607
"void MatrixMulKernel_4b<int=16>(float*, float const *, float const *, int)",14,4140,0,9088,0,113600,0,114400,0,114400,0,29184,0,144,0,549905,0,2320,0,114400,0,0,114400,2304,5665165997,1955840,24,24,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5667238218,106206,,,,,,,,589824,5553584543
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5716620576,177216,,,,,,,,1048576,5916937522
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5717062048,176896,,,,,,,,1048576,5927641099
"void MatrixMulKernel_4b<int=16>(float*, float const *, float const *, int)",14,4140,0,16320,0,269280,0,272448,0,272448,0,68800,0,257,0,1298960,0,4064,0,270336,0,0,270336,4112,5717243968,4430144,32,32,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5721783642,184254,,,,,,,,1048576,5690926655
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5773063245,283552,,,,,,,,1638400,5778128879
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5773740301,282656,,,,,,,,1638400,5796445148
"void MatrixMulKernel_4b<int=16>(float*, float const *, float const *, int)",14,4140,0,25536,0,523488,0,524800,0,524800,0,130944,0,401,0,2512785,0,6416,0,526112,0,0,526112,6384,5774027053,8606368,40,40,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5783246777,291481,,,,,,,,1638400,5620949564
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5836143957,32864,,,,,,,,65536,1994157740
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5836233173,32192,,,,,,,,65536,2035785288
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",23,1068,0,2048,0,8704,4352,4352,0,4352,0,624,0,16,31803,17547,0,512,0,8704,0,0,8704,256,5836271797,118496,8,8,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5836438996,15967,,,,,,,,65536,4104465460
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5881842027,48032,,,,,,,,262144,5457694870
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5882004107,47520,,,,,,,,262144,5516498316
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",23,1068,0,7936,0,65472,36432,36432,0,36432,0,4400,0,59,233535,124845,0,2016,0,65472,0,0,65472,1024,5882055691,877280,16,16,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5882984457,48865,,,,,,,,262144,5364657730
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5932251296,103936,,,,,,,,589824,5674876847
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5932510752,103488,,,,,,,,589824,5699443413
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",23,1068,0,18432,0,225792,112896,112896,0,112896,0,14208,0,144,763138,404465,0,4608,0,225792,0,0,225792,2304,5932618304,2622112,24,24,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5935347547,108159,,,,,,,,589824,5453304856
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5986287023,177248,,,,,,,,1048576,5915869290
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5986750607,176608,,,,,,,,1048576,5937307483
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",23,1068,0,32512,0,528320,265200,265200,0,265200,0,34104,0,263,1860658,983681,0,8256,0,530400,0,0,530400,4048,5986931279,6247616,32,32,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,5993288583,183517,,,,,,,,1048576,5713781284
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6045529753,283680,,,,,,,,1638400,5775521714
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6046211769,282368,,,,,,,,1638400,5802357207
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",23,1068,0,51968,0,1052352,528768,528768,0,528768,0,63440,0,396,3522511,1852707,0,12512,0,1026432,0,0,1026432,6240,6046498201,12046976,40,40,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6058743691,291543,,,,,,,,1638400,5619754204
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6111875294,32768,,,,,,,,65536,2000000000
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6111956478,32352,,,,,,,,65536,2025717111
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",34,4140,0,3072,0,3456,0,2304,1152,1152,0,224,0,4,17167,25750,0,0,320,2304,0,0,1408,256,6111995262,138752,4,4,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6112179516,16032,,,,,,,,65536,4087824351
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6156517684,48160,,,,,,,,262144,5443189368
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6156704948,47552,,,,,,,,262144,5512786002
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",34,4140,0,8192,0,17408,0,16320,8160,8160,0,2080,0,15,86013,125143,0,0,1024,17408,0,0,9728,960,6156756564,762688,8,8,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6157622707,48895,,,,,,,,262144,5361366192
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6204598634,104096,,,,,,,,589824,5666154319
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6204885578,103424,,,,,,,,589824,5702970297
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",34,4140,0,18432,0,57600,0,57600,28800,28800,0,7296,0,36,307547,446257,0,0,2304,57600,0,0,31104,2304,6204993066,2287264,12,12,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6207365446,108062,,,,,,,,589824,5458199922
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6257330139,177120,,,,,,,,1048576,5920144534
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6257765915,176736,,,,,,,,1048576,5933007423
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",34,4140,0,33280,0,137280,0,137280,68640,68640,0,16800,0,63,716823,1036270,0,0,4224,135168,0,0,71680,4096,6257946715,5471200,16,16,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6263525140,183837,,,,,,,,1048576,5703835462
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6314715399,283520,,,,,,,,1638400,5778781038
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6315397639,282560,,,,,,,,1638400,5798414496
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",34,4140,0,51712,0,265024,0,262400,131200,131200,0,32736,0,100,1408957,2029657,0,0,6400,262400,0,0,137600,6400,6315684263,10631680,20,20,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,6326422940,290904,,,,,,,,1638400,5632098561
