Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,tex cache hit,gld coalesced,tex cache miss,gld uncoalesced,warp serialize,instructions,divergent branch,branch
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",3806481904,723584,24,24,1,16,16,1,12,2080,0,,,9,281,9,281,4527367583,100,90029892,176,1024,1024,0,64,22,0,0,0,51200,0,4096,51200,0,0,8800,0,51200,0,0,0,265785,0,17248
"Memcpy DtoH [sync]",3807312080,127872,,,,,,,,,,589824,4612612612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3858126835,224608,,,,,,,,,,1048576,4668471292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3858709651,224800,,,,,,,,,,1048576,4664483985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",3858937939,1646624,32,32,1,16,16,1,12,2080,0,,,9,9,4679104477,100,70592333,304,1824,1824,0,114,38,0,0,0,120384,0,7296,120384,0,0,20064,0,120384,0,0,0,607416,0,39520
"Memcpy DtoH [sync]",3860694835,222752,,,,,,,,,,1048576,4707369630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3911841268,10368,,,,,,,,,,16384,1580246913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3911891796,9408,,,,,,,,,,16384,1741496598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",3911924564,49952,2,2,1,16,16,1,26,8224,0,,,27,27,966037735,100,161412358,32,64,0,0,1,1,0,0,384,0,0,512,384,64,0,192,0,384,0,0,5115,15942,0,2256
"Memcpy DtoH [sync]",3912056756,7296,,,,,,,,,,16384,2245614035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3950422858,29504,,,,,,,,,,65536,2221258134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3950497930,28960,,,,,,,,,,65536,2262983425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",3950540938,97120,4,4,1,16,16,1,26,8224,0,,,13,5,13,5,1673749591,100,167429692,32,128,0,0,2,1,0,0,1280,0,0,1024,1280,128,0,320,0,1280,0,0,10219,31084,0,4480
"Memcpy DtoH [sync]",3950728394,17376,,,,,,,,,,65536,3771639042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3990961768,59200,,,,,,,,,,262144,4428108108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3991163272,57376,,,,,,,,,,262144,4568878973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",3991224168,552288,8,8,1,16,16,1,26,8224,0,,,10,125,10,125,2132963027,100,118800394,96,512,0,0,8,3,0,0,9216,0,0,4096,9216,512,0,1728,0,9216,0,0,61165,183996,0,26784
"Memcpy DtoH [sync]",3991920680,57696,,,,,,,,,,262144,4543538546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4035727292,129216,,,,,,,,,,589824,4564635958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4036074684,129152,,,,,,,,,,589824,4566897918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",4036207324,1629344,12,12,1,16,16,1,26,8224,0,,,10,125,10,125,2088935093,100,80151850,192,1024,0,0,16,6,0,0,26624,0,0,8192,26624,1024,0,4992,0,26624,0,0,183113,549615,0,80256
"Memcpy DtoH [sync]",4037929596,127840,,,,,,,,,,589824,4613767209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4089338548,224992,,,,,,,,,,1048576,4660503484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4089928788,223936,,,,,,,,,,1048576,4682480708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",4090156212,3601216,16,16,1,16,16,1,26,8224,0,,,9,31,9,31,2241665334,100,65787025,320,1856,0,0,29,10,0,0,63104,0,0,14848,63104,1856,0,10880,0,63104,0,0,406612,1218740,0,178240
"Memcpy DtoH [sync]",4094744500,240096,,,,,,,,,,1048576,4367319738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
